sample	family	DEL	DUP	INV	BND
1002292727	family0	3	9	1	30
1002292727	family0	3	9	1	30
4054649052	family1	4	6	0	22
4054649052	family1	4	6	0	22
1002336041	family10	2	12	0	30
1002336041	family10	2	12	0	30
4067243040	family100	3	7	0	24
4067243040	family100	3	7	0	24
4067242972	family101	2	12	0	18
4067242972	family101	2	12	0	18
4067257845	family102	4	11	0	34
4067259658	family103	3	9	4	48
4067259658	family103	3	9	4	48
4067259667	family104	2	7	2	36
4067259667	family104	2	7	2	36
4069529331	family105	18	23	3	82
4069529331	family105	18	23	3	82
4068413252	family106	3	6	1	20
4068413252	family106	3	6	1	20
4068409479	family107	4	7	1	26
4068409479	family107	4	7	1	26
4068415348	family108	5	7	2	28
4068415348	family108	5	7	2	28
4069319871	family109	7	7	0	38
4069319871	family109	7	7	0	38
1002336068	family11	1	15	0	34
1002336068	family11	1	15	0	34
4068416331	family110	8	16	1	52
4068416331	family110	8	16	1	52
4068416241	family111	2	13	2	26
4068416241	family111	2	13	2	26
4068416247	family112	4	13	1	38
4068416247	family112	4	13	1	38
4068419560	family113	4	9	0	16
4068419560	family113	4	9	0	16
4068419651	family114	1	8	0	22
4068419651	family114	1	8	0	22
